"time","hemisphere","extent","area"
1987-11-01,"north",11220000000000,9730000000000
1988-11-01,"north",11330000000000,9910000000000
1989-11-01,"north",11120000000000,9460000000000
1990-11-01,"north",11080000000000,9640000000000
1991-11-01,"north",10880000000000,9250000000000
1992-11-01,"north",11380000000000,9750000000000
1993-11-01,"north",11320000000000,9540000000000
1994-11-01,"north",11120000000000,9710000000000
1995-11-01,"north",10760000000000,9030000000000
1996-11-01,"north",10400000000000,8770000000000
1997-11-01,"north",10680000000000,9070000000000
1998-11-01,"north",10440000000000,8880000000000
1999-11-01,"north",10800000000000,9260000000000
2000-11-01,"north",10320000000000,8870000000000
2001-11-01,"north",10660000000000,9080000000000
2002-11-01,"north",10340000000000,8750000000000
2003-11-01,"north",10130000000000,8570000000000
2004-11-01,"north",10340000000000,8950000000000
2005-11-01,"north",10220000000000,8800000000000
2006-11-01,"north",9660000000000,8130000000000
2007-11-01,"north",9760000000000,8060000000000
2008-11-01,"north",10340000000000,9050000000000
2009-11-01,"north",9770000000000,8360000000000
2010-11-01,"north",9610000000000,8430000000000
2011-11-01,"north",9770000000000,8520000000000
2012-11-01,"north",9390000000000,8060000000000
2013-11-01,"north",9940000000000,8660000000000
2014-11-01,"north",10110000000000,8750000000000
2015-11-01,"north",9850000000000,8480000000000
2016-11-01,"north",8660000000000,7010000000000
2017-11-01,"north",9490000000000,8080000000000
2018-11-01,"north",9820000000000,8430000000000
2019-11-01,"north",9350000000000,7980000000000
2020-11-01,"north",8990000000000,7530000000000
2021-11-01,"north",9830000000000,8570000000000
2022-11-01,"north",9730000000000,8520000000000
2023-11-01,"north",9680000000000,8300000000000
2024-11-01,"north",9150000000000,7740000000000
2025-11-01,"north",8770000000000,7360000000000
1978-12-01,"north",13670000000000,10900000000000
1979-12-01,"north",13340000000000,10630000000000
1980-12-01,"north",13590000000000,10780000000000
1981-12-01,"north",13340000000000,10540000000000
1982-12-01,"north",13640000000000,10880000000000
1983-12-01,"north",13300000000000,10630000000000
1984-12-01,"north",12990000000000,10270000000000
1985-12-01,"north",13050000000000,10240000000000
1986-12-01,"north",13220000000000,10530000000000
1987-12-01,"north",-9999000000000000,-9999000000000000
1988-12-01,"north",13630000000000,11990000000000
1989-12-01,"north",13390000000000,11610000000000
1990-12-01,"north",13110000000000,11470000000000
1991-12-01,"north",12950000000000,11190000000000
1992-12-01,"north",13410000000000,11720000000000
1993-12-01,"north",13320000000000,11480000000000
1994-12-01,"north",13270000000000,11490000000000
1995-12-01,"north",12920000000000,11090000000000
1996-12-01,"north",12860000000000,11030000000000
1997-12-01,"north",13080000000000,11240000000000
1998-12-01,"north",12760000000000,10910000000000
1999-12-01,"north",12640000000000,10990000000000
2000-12-01,"north",12640000000000,10960000000000
2001-12-01,"north",12490000000000,10550000000000
2002-12-01,"north",12610000000000,10640000000000
2003-12-01,"north",12590000000000,10800000000000
2004-12-01,"north",12550000000000,10980000000000
2005-12-01,"north",12230000000000,10560000000000
2006-12-01,"north",11950000000000,10170000000000
2007-12-01,"north",12030000000000,10180000000000
2008-12-01,"north",12360000000000,10970000000000
2009-12-01,"north",12200000000000,10590000000000
2010-12-01,"north",11830000000000,10430000000000
2011-12-01,"north",12150000000000,10630000000000
2012-12-01,"north",12010000000000,10450000000000
2013-12-01,"north",12180000000000,10870000000000
2014-12-01,"north",12350000000000,10890000000000
2015-12-01,"north",12040000000000,10640000000000
2016-12-01,"north",11460000000000,9620000000000
2017-12-01,"north",11740000000000,10260000000000
2018-12-01,"north",11860000000000,10450000000000
2019-12-01,"north",11900000000000,10520000000000
2020-12-01,"north",11730000000000,10160000000000
2021-12-01,"north",12150000000000,10740000000000
2022-12-01,"north",11890000000000,10270000000000
2023-12-01,"north",11980000000000,10340000000000
2024-12-01,"north",11410000000000,10030000000000
2025-12-01,"north",11220000000000,9600000000000
