,YEAR,bay,bay_lag1,Uga,Uga_lag1,Ege,Ege_lag1,Kvi,Kvi_lag1,Nush,Nush_lag1,Tog,Tog_lag1
45,2007,189.2308407,189.1548803,191.9075575,193.0098909,187.9932479,188.6348581,190.1911159,191.7642826,185.4617984,185.4600417,200.1015379,200.7348182
46,2008,188.4417344,189.2308407,190.2966144,191.9075575,185.7912959,187.9932479,189.448186,190.1911159,187.6710771,185.4617984,201.1063392,200.1015379
47,2009,184.8692391,188.4417344,188.9058931,190.2966144,181.872516,185.7912959,185.8873812,189.448186,184.1025074,187.6710771,203.09383,201.1063392
48,2010,188.6144942,184.8692391,191.0320649,188.9058931,184.9978065,181.872516,190.1140796,185.8873812,185.8777688,184.1025074,201.3130332,203.09383
49,2011,183.3915672,188.6144942,186.1977788,191.0320649,180.1389074,184.9978065,184.2414707,190.1140796,181.955125,185.8777688,197.3877785,201.3130332
50,2012,188.094534,183.3915672,189.4215437,186.1977788,187.0389055,180.1389074,188.3584506,184.2414707,187.184549,181.955125,199.4739229,197.3877785
51,2013,180.4646783,188.094534,179.9694423,189.4215437,179.8589432,187.0389055,181.7263402,188.3584506,178.6897702,187.184549,194.9878788,199.4739229
52,2014,183.7926794,180.4646783,190.7229311,179.9694423,183.4343379,179.8589432,184.0408389,181.7263402,181.1311731,178.6897702,202.539808,194.9878788
53,2015,192.533702,183.7926794,191.8353895,190.7229311,190.2154631,183.4343379,194.0455579,184.0408389,188.4263894,181.1311731,208.0929433,202.539808
54,2016,193.1930176,192.533702,194.9451239,191.8353895,191.4116853,190.2154631,194.6634678,194.0455579,188.9579578,188.4263894,200.1870859,208.0929433
55,2017,188.6443984,193.1930176,192.9323174,194.9451239,187.3839161,191.4116853,191.3673303,194.6634678,186.0165044,188.9579578,199.6198701,200.1870859
56,2018,192.1226418,188.6443984,198.194557,192.9323174,192.4174955,187.3839161,195.9908501,191.3673303,187.7228186,186.0165044,207.5750946,199.6198701
57,2019,189.9546078,192.1226418,202.9588318,198.194557,190.2107616,192.4174955,191.9705379,195.9908501,185.3318525,187.7228186,203.2952836,207.5750946
58,2020,191.746885,189.9546078,197.3574779,202.9588318,191.3726059,190.2107616,192.1599281,191.9705379,189.3710678,185.3318525,198.8734782,203.2952836
59,2021,188.6869755,191.746885,195.4389718,197.3574779,187.6797606,191.3726059,190.4865304,192.1599281,185.6644794,189.3710678,203.3251746,198.8734782
60,2022,187.2524223,188.6869755,190.5117258,195.4389718,186.1562023,187.6797606,190.9468117,190.4865304,184.2267245,185.6644794,207.1725684,203.3251746
61,2023,189.5823287,187.2524223,196.4990256,190.5117258,187.831419,186.1562023,193.0303491,190.9468117,183.7070308,184.2267245,202.5668905,207.1725684
62,2024,189.3350693,189.5823287,191.4077556,196.4990256,187.4378311,187.831419,191.4725843,193.0303491,185.6408539,183.7070308,204.4845177,202.5668905
